期号,总销售额,红球,蓝球,一等奖省份
2023079,352893610,"05,06,09,12,21,22",07,"北京1注,河北1注,内蒙古1注,辽宁1注,吉林1注,浙江16注,山东3注,湖北1注,湖南2注,广东15注,云南1注,陕西1注,共44注。"
2023078,376825490,"06,08,14,19,30,31",08,"天津2注,辽宁1注,吉林1注,黑龙江1注,江苏5注,福建2注,河南1注,湖南1注,广东3注,四川2注,贵州1注,云南2注,共22注。"
2023077,351174612,"07,09,14,22,26,27",01,"辽宁1注,黑龙江1注,上海1注,浙江1注,广东2注,云南1注,陕西1注,共8注。"
2023076,349981630,"03,04,15,18,19,22",09,"内蒙古1注,辽宁1注,安徽1注,山东4注,广东1注,共8注。"
2023075,382962350,"13,15,24,28,30,31",01,"河北1注,辽宁1注,福建2注,湖南3注,四川1注,新疆1注,共9注。"
2023074,358471886,"02,08,09,18,19,21",03,"辽宁1注,江苏1注,陕西2注,共4注。"
2023073,360075550,"01,03,15,16,25,32",10,"北京1注,贵州1注,云南1注,西藏1注,青海1注,共5注。"
2023072,390203400,"02,06,10,24,25,33",09,"吉林1注,上海1注,重庆1注,湖南4注,共7注。"
2023071,335357710,"05,12,15,19,24,26",06,"河北1注,辽宁2注,黑龙江1注,浙江2注,福建1注,山东1注,河南1注,湖南1注,广西2注,四川2注,甘肃2注,共16注。"
2023070,358436376,"03,05,25,31,32,33",04,共0注。
2023069,396617204,"12,14,17,20,21,26",02,"河北2注,浙江2注,山东1注,甘肃1注,共6注。"
2023068,370869162,"11,12,15,18,29,33",02,"河北1注,共1注。"
2023067,364444632,"01,03,12,19,28,32",14,"河北1注,辽宁1注,黑龙江1注,福建1注,四川1注,共5注。"
2023066,393592226,"02,07,08,10,26,31",06,"河北1注,辽宁1注,黑龙江1注,浙江11注,江西1注,山东2注,新疆1注,共18注。"
2023065,364732942,"02,14,17,20,26,33",14,"河北1注,浙江3注,山东1注,河南1注,湖北1注,广东1注,共8注。"
2023064,358055754,"01,07,11,12,16,18",04,"北京1注,山西1注,河南9注,湖北1注,湖南2注,广东1注,广西3注,陕西1注,共19注。"
2023063,390718820,"04,08,17,20,22,27",13,"北京1注,广东3注,共4注。"
2023062,359921314,"11,19,23,24,26,33",15,"黑龙江1注,共1注。"
2023061,365432766,"01,04,06,11,12,22",15,"山东1注,湖南2注,共3注。"
2023060,402713176,"09,11,17,19,30,31",11,"辽宁1注,江苏2注,浙江1注,山东1注,陕西1注,共6注。"
2023059,374631364,"02,06,13,22,27,32",06,"吉林1注,黑龙江2注,江苏2注,浙江1注,安徽3注,福建1注,山东6注,重庆1注,河南1注,广东11注,陕西1注,共30注。"
2023058,372662796,"10,17,22,26,30,33",11,"上海1注,四川1注,共2注。"
2023057,396913794,"02,05,10,17,24,32",03,"黑龙江5注,上海1注,江苏2注,浙江1注,安徽1注,江西2注,湖南2注,广东2注,四川3注,陕西1注,新疆1注,共21注。"
2023056,372532958,"08,14,15,18,23,33",08,"北京1注,上海5注,江苏1注,山东1注,四川1注,深圳1注,共10注。"
2023055,370786668,"03,04,20,23,27,32",13,"广东1注,共1注。"
2023054,394464450,"05,06,09,10,15,26",12,"江苏1注,江西3注,山东1注,广东1注,广西2注,共8注。"
2023053,364282626,"01,07,14,20,27,30",15,"河北2注,福建1注,山东5注,河南1注,广东1注,共10注。"
2023052,358038114,"03,04,05,08,12,17",06,"辽宁1注,吉林1注,黑龙江1注,上海1注,江苏8注,福建1注,山东1注,四川1注,云南1注,共16注。"
2023051,388332454,"22,26,29,30,32,33",14,"广东2注,共2注。"
2023050,359185180,"02,07,09,14,22,23",05,"湖南1注,西藏4注,共5注。"
2023049,328857030,"05,07,14,23,25,27",02,"山西1注,吉林1注,江苏1注,山东1注,四川2注,共6注。"
2023048,362109840,"02,03,10,24,28,30",08,"北京1注,辽宁1注,上海1注,浙江3注,山东1注,河南1注,湖南2注,广东2注,四川1注,贵州1注,甘肃1注,新疆1注,共16注。"
2023047,373486114,"05,07,14,23,31,33",07,"北京1注,辽宁1注,浙江2注,安徽1注,广东1注,四川1注,贵州1注,共8注。"
2023046,364967218,"06,08,17,25,26,28",03,"山西1注,湖北1注,广东1注,四川1注,共4注。"
2023045,398638950,"03,06,12,21,27,28",04,"北京1注,天津1注,江苏2注,山东1注,重庆2注,湖北5注,湖南1注,云南1注,共14注。"
2023044,375494004,"02,08,15,22,24,26",16,"上海1注,江苏1注,安徽5注,重庆1注,共8注。"
